,uuid,frameVersion,setCode,isOnlineOnly,isTextless,keywords,name,text,type,rules
612,bc59a5bc-2a1e-5bdd-a7a1-322e7fc6911e,2015,WOE,False,False,Vigilance,Savior of the Sleeping,"Vigilance
Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on this creature.",Creature — Human Knight,"Enchantment tokens (such as Roles) that are sacrificed, destroyed, or would otherwise go to the graveyard are put into their owner's graveyard before ceasing to exist. If you controlled the token, Savior of the Sleeping's ability will trigger."
615,6b49e9d0-f0f8-55b8-8dce-4945fcdb39b4,2015,PIP,False,False,"Lifelink, Vigilance","Paladin Danse, Steel Maverick","Vigilance, lifelink
Exile Paladin Danse: Each creature you control that's an artifact or Human gains indestructible until end of turn.",Legendary Artifact Creature — Synth Knight,The set of creatures affected by Paladin Danse's last ability is determined as the ability resolves. Artifact creatures and Human creatures you begin to control later in the turn and permanents you control that become artifact creatures or Human creatures later in the turn won't gain indestructible.
620,5c3db9e7-1210-5a00-9e14-c2e357fe447c,2015,WHO,False,False,"Sonic Booster, Doctor's companion",Nyssa of Traken,"You have no maximum hand size.
Sonic Booster — Whenever Nyssa of Traken attacks, sacrifice any number of artifacts. When you sacrifice one or more artifacts this way, tap up to that many target creatures and draw that many cards.
Doctor's companion (You can have two commanders if the other is the Doctor.)",Legendary Creature — Human Scientist,"If you chose at least one target and all targets are illegal as the ability tries to resolve, the ability is removed from the stack and does nothing. You will not draw any cards in this case.You can choose fewer than X targets for Nyssa's reflexive triggered ability. The number of targets doesn't change the number of cards drawn."
624,ed9f9930-4578-53f5-b150-0212d26551bc,2015,DMR,False,False,,Forgotten Ancient,"Whenever a player casts a spell, you may put a +1/+1 counter on this creature.
At the beginning of your upkeep, you may move any number of +1/+1 counters from this creature onto other creatures.",Creature — Elemental,"Forgotten Ancient's first ability will resolve before the spell that caused it to trigger. Putting a +1/+1 counter on Forgotten Ancient is optional.Forgotten Ancient's last ability doesn't target any creatures. You choose how many +1/+1 counters will be moved (and onto which creatures) as the ability resolves. Notably, once the ability starts resolving and you make these choices, no player may take actions until the ability has finished resolving."
625,153f3401-56c8-5d2c-b045-e655fa520b83,2015,LCC,False,False,,Skeleton Crew,"Each other creature you control that's a Skeleton or Pirate gets +1/+1.
Whenever one or more creature cards leave your graveyard, create a 2/2 black Skeleton Pirate creature token. (This ability triggers only from the battlefield.)
{5}{B}: Return this card from your graveyard to the battlefield tapped.",Creature — Skeleton Pirate,"Resolving Skeleton Crew's last ability won't cause its second ability to trigger.If two or more creature cards leave your graveyard as a single event, Skeleton Crew's second ability will trigger once. If they leave your graveyard as separate events, it will trigger once for each event."
630,a4134fde-a36b-535d-8072-69e9e58b392c,2015,ONE,False,False,,Minor Misstep,Counter target spell with mana value 1 or less.,Instant,"While a spell with {X} in its mana cost is on the stack, use the value of X that was chosen when it was cast to determine its mana value. Normally, this means that a spell with {X} in its mana cost will have a mana value greater than 1."
631,9984de17-7fb5-501e-8b63-9305cd4bb03c,1997,RVR,False,False,,Rest in Peace,"When this enchantment enters, exile all graveyards.
If a card or token would be put into a graveyard from anywhere, exile it instead.",Enchantment,"While Rest in Peace is on the battlefield, abilities that trigger whenever a creature dies won't trigger because cards and tokens are never put into a player's graveyard.If a card is discarded while Rest in Peace is on the battlefield, abilities that function when a card is discarded (such as madness) still work, even though that card never reaches a graveyard. In addition, spells or abilities that check the characteristics of a discarded card (such as Chandra Ablaze's first ability) can find that card in exile.If Rest in Peace is destroyed by a spell, Rest in Peace will be exiled and then the spell will be put into its owner's graveyard."
642,bb76743d-5adf-5033-b2f2-dab8bcc994a4,2015,LCC,False,False,,Thunderherd Migration,"As an additional cost to cast this spell, reveal a Dinosaur card from your hand or pay {1}.
Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",Sorcery,"If an effect refers to a ""[subtype] spell"" or ""[subtype] card,"" it refers only to a spell or card that has that subtype. For example, March of the Drowned is a card that benefits Pirates and features Pirates in its illustration, but it isn't a Pirate card."
644,26a348cb-2206-5351-9ec3-eeb06a3f2ace,2015,PIP,False,False,Vigilance,"Lily Bowen, Raging Grandma","Vigilance
Lily Bowen enters with two +1/+1 counters on it.
At the beginning of your upkeep, double the number of +1/+1 counters on Lily Bowen if its power is 16 or less. Otherwise, remove all but one +1/+1 counter from it, then you gain 1 life for each +1/+1 counter removed this way.",Legendary Creature — Mutant Warrior,"To double the number of +1/+1 counters on Lily Bowen, put a number of +1/+1 counters on it equal to the number it already has. Replacement effects that modify the number of counters being placed on creatures you control, such as the effect of Branching Evolution, apply to this ability as normal."
645,9ecfa1b4-8eec-52fd-8c4b-f6d6c2d8234f,2015,LCC,False,False,"First strike, Menace","Kari Zev, Skyship Raider","First strike, menace
Whenever Kari Zev attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters tapped and attacking. Exile that token at end of combat.",Legendary Creature — Human Pirate,"You choose which opponent or opposing planeswalker Ragavan is attacking as you create the token. It doesn't have to be the same player or planeswalker Kari Zev is attacking.Although Ragavan is attacking, it was never declared as an attacking creature (for the purposes of abilities that trigger whenever a creature attacks, for example).The delayed triggered ability that exiles Ragavan triggers at end of combat even if Kari Zev is no longer on the battlefield."
646,97430ca0-527f-5940-b748-ba164a65b725,2015,PIP,False,False,,Branching Evolution,"If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on that creature instead.",Enchantment,"If a creature you control would enter the battlefield with a number of +1/+1 counters on it, it enters with twice that many instead.If two or more effects attempt to modify how many counters would be put onto a creature you control, you choose the order to apply those effects, no matter who controls the sources of those effects.If you control two Branching Evolutions, the number of +1/+1 counters put on a creature is four times the original number. Three Branching Evolutions multiplies the original number by eight, and so on."
648,954bf834-771f-5ea5-9829-b2acae18ceac,2015,ONE,False,False,"Proliferate, Compleated","Vraska, Betrayal's Sting","Compleated ({B/P} can be paid with {B} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[0]: You draw a card and lose 1 life. Proliferate.
[−2]: Target creature becomes a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color"" and loses all other card types and abilities.
[−9]: If target player has fewer than nine poison counters, they get a number of poison counters equal to the difference.",Legendary Planeswalker — Vraska,"A Phyrexian mana symbol contributes 1 toward the mana value of a card, even if life is paid for it. Specifically, Vraska's mana value is always 6.In most cases, the target of Vraska's last loyalty ability will end up with nine poison counters. However, once you calculate what the difference is, replacement effects can change how many poison counters the player actually gets. For example, if the player controls Melira, the Living Cure, they will end up getting one poison counter if they had eight or fewer to begin with.The target of Vraska's second loyalty ability will lose any other subtypes and card types it previously had and will be only a Treasure artifact. It will retain any supertypes it had.Other replacement effects that would change the number of loyalty counters Vraska enters with will apply as normal."
650,1a24e767-e41b-5fd9-9c58-bac026ffb8bc,2015,LTR,False,False,,"Elrond, Master of Healing","Whenever you scry, put a +1/+1 counter on each of up to X target creatures, where X is the number of cards looked at while scrying this way.
Whenever a creature you control with a +1/+1 counter on it becomes the target of a spell or ability an opponent controls, you may draw a card.",Legendary Creature — Elf Noble,"Elrond, Master of Healing's first ability cares about the number of cards you actually looked at. For example, if you were supposed to scry 3 but only had two cards in your library, X would be 2.If two creatures you control with +1/+1 counters on them become the target of the same spell or ability an opponent controls, Elrond, Master of Healing's last ability will trigger twice."
660,602c197e-329c-5294-82df-da9a0af31bce,2015,LTR,False,False,,Friendly Rivalry,Target creature you control and up to one other target legendary creature you control each deal damage equal to their power to target creature you don't control.,Instant,"If one of the two target creatures you control is an illegal target as Friendly Rivalry resolves, the other will still deal damage equal to its power.If the last target is an illegal target as Friendly Rivalry resolves, or if both of the first targets are illegal targets, no creature deals or is dealt damage."
679,fe2f90a1-4630-5579-b77b-2c4e4ba74539,2015,WOE,False,False,Prowess,Elusive Otter // Grove's Bounty,Distribute X +1/+1 counters among any number of target creatures you control. (Then exile this card. You may cast the creature later from exile.),Sorcery — Adventure,"If some of the creatures are illegal targets as Grove's Bounty tries to resolve, the original distribution of counters still applies and the counters that would have been put on illegal targets are lost.You compare Elusive Otter's power to the power of any creature trying to block it only as blockers are assigned. Once Elusive Otter has been legally blocked by a creature, changing the power of either creature won't change or undo the block.You choose how the counters will be distributed as you cast Grove's Bounty. Each target must receive at least one +1/+1 counter."
682,cbbc084c-b6a2-5e55-b5de-78de7ebac743,2015,ONE,False,False,"For Mirrodin!, Equip",Hexgold Hoverwings,"For Mirrodin! (When this Equipment enters, create a 2/2 red Rebel creature token, then attach this to it.)
Equipped creature has flying.
Creatures you control that are equipped get +1/+0.
Equip {2}{W}",Artifact — Equipment,"If the Rebel is destroyed, the Equipment stays on the battlefield. Similarly, you may pay its equip cost to move it from the Rebel token to another creature you control.If the ability causes two Rebel tokens to be created (due to an effect such as that of Mondrak, Glory Dominus), the Equipment becomes attached to only one of them.The Rebel enters the battlefield as a 2/2 creature, then the Equipment becomes attached to it. Abilities that trigger when a creature enters the battlefield see that a 2/2 creature entered the battlefield."
702,afd01b50-8bdd-5b85-97e6-c0b817cdef37,2015,POTJ,False,False,,Rakdos Joins Up,"When Rakdos Joins Up enters, return target creature card from your graveyard to the battlefield with two additional +1/+1 counters on it.
Whenever a legendary creature you control dies, Rakdos Joins Up deals damage equal to that creature's power to target opponent.",Legendary Enchantment,Use the power of the legendary creature as it last existed on the battlefield to determine how much damage is dealt.
705,37ac4363-f341-5097-be2c-90e1cfe7df9c,2015,MUL,False,False,"Lifelink, Deathtouch","Yarok, the Desecrated","Deathtouch, lifelink
If a permanent entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",Legendary Creature — Elemental Horror,"If you somehow control two Yaroks, a permanent entering the battlefield causes abilities to trigger three times, not four. A third Yarok causes abilities to trigger four times, a fourth causes abilities to trigger five times, and so on.In some cases involving linked abilities, an ability requires information about ""the exiled card."" When this happens, the ability gets multiple answers. If these answers are being used to determine the value of a variable, the sum is used. For example, if Elite Arcanist's enters-the-battlefield ability triggers twice, two cards are exiled. The value of X in the activation cost of Elite Arcanist's other ability is the sum of the two cards' mana values. As the ability resolves, you create copies of both cards and can cast none, one, or both of the copies in any order.Yarok's effect doesn't copy the triggered ability; it just causes the ability to trigger twice. Any choices made as you put the ability onto the stack, such as modes and targets, are made separately for each instance of the ability. Any choices made on resolution, such as whether to put counters on a permanent, are also made individually.Yarok affects a permanent's own enters-the-battlefield triggered abilities as well as other triggered abilities that trigger when that permanent enters the battlefield. Such triggered abilities start with ""when"" or ""whenever.""Replacement effects are unaffected by Yarok's ability. For example, a creature that enters the battlefield with one +1/+1 counter on it won't receive an additional +1/+1 counter.Abilities that apply ""as [this creature] enters the battlefield,"" such as choosing a color with Diamond Knight, are also unaffected.You don't need to control the permanent entering the battlefield, only the permanent that has the triggered ability.If a permanent entering the battlefield at the same time as Yarok (including Yarok itself) causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time."
720,9a523de7-acd2-50ac-9646-59c3a84cd8d7,2015,MKC,False,False,"Gravestorm, Investigate",Follow the Bodies,"Gravestorm (When you cast this spell, copy it for each permanent put into a graveyard from the battlefield this turn.)
Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",Sorcery,"The copies of Follow the Bodies created by its gravestorm ability are created on the stack, so they're not cast and won't cause abilities that trigger when a player casts a spell to trigger.Gravestorm counts all permanents put into graveyards from the battlefield this turn. It doesn't matter who controlled those permanents, who owns them, or whether or not they were tokens.The triggered ability that creates the copies can itself be countered by anything that can counter a triggered ability. If it is countered, no copies will be put onto the stack.A copy of a spell can be countered like any other spell, but it must be countered individually. Countering a spell with gravestorm won't affect the copies."
721,b4bce0f4-46f7-5199-9d72-86208caa7f94,2015,PLCI,False,False,,Pugnacious Hammerskull,"Whenever this creature attacks while you don't control another Dinosaur, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",Creature — Dinosaur,"If you didn't control another Dinosaur when you declared Pugnacious Hammerskull as an attacker, it doesn't matter whether or not you control one as its ability resolves. You'll still put a stun counter on Pugnacious Hammerskull."
723,751e9d73-f828-5298-b06c-f923e43b2959,2015,LTR,False,False,,Pippin's Bravery,"You may sacrifice a Food. If you do, target creature gets +4/+4 until end of turn. Otherwise, that creature gets +2/+2 until end of turn.",Instant,"If an effect refers to a Food, it means any Food artifact, not just a Food artifact token. For example, you can sacrifice Lembas to Pippin's Bravery.You choose a target creature as you cast Pippin's Bravery, but you don't choose whether to sacrifice a Food until the spell resolves.If the target creature is an illegal target by the time Pippin's Bravery tries to resolve, Pippin's Bravery is removed from the stack. You won't be able to sacrifice a Food to it."
733,90cead29-0d60-5a6a-b894-11b4e5c864ca,2015,MOC,False,False,Unearth,First-Sphere Gargantua,"When this creature enters, you draw a card and you lose 1 life.
Unearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",Creature — Phyrexian Horror,"If a creature returned to the battlefield by the unearth ability would leave it for any reason, it's exiled instead—unless the spell or ability that's causing the creature to leave the battlefield is actually trying to exile it. In that case, the spell or ability succeeds at exiling the creature. If the spell or ability later returns the creature card to the battlefield (as Astral Drift might, for example), the creature card will return as a new object with no relation to its previous existence. The unearth effect will no longer apply to it.Activating a creature card's unearth ability isn't the same as casting the creature card. The unearth ability is put on the stack, but the creature card is not. Spells and abilities that interact with activated abilities (such as Stifle) will interact with unearth, but spells and abilities that interact with spells (such as Cancel) will not."
745,1ddbebb2-fa6d-5481-9240-8edec2216bce,2015,LCI,False,False,Descend,Wail of the Forgotten,"Descend 8 — Choose one. If there are eight or more permanent cards in your graveyard as you cast this spell, choose one or more instead.
• Return target nonland permanent to its owner's hand.
• Target opponent discards a card.
• Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.",Sorcery,"If all targets for the chosen modes become illegal before Wail of the Forgotten resolves, the spell will be countered and none of its effects will happen. If at least one target is still legal, the spell will resolve but will have no effect on any illegal targets.Some descend triggered abilities include intervening ""if"" clauses (i.e. ""if you have [four or eight] permanent cards in your graveyard"" in the middle of the ability). Each of these abilities checks your graveyard at the moment it would trigger to see if it does. If you don't have the required number of permanent cards in your graveyard at that time, the ability doesn't trigger at all. If it does trigger, it will check again as it tries to resolve. If you don't have the required number of permanent cards in your graveyard at that time, the ability won't resolve and none of its effects will happen.Cards with the ability word ""descend N"" have abilities that care if you have at least N permanent cards in your graveyard."
758,21220aa5-453c-59cb-a8d5-6b31f7df1838,2015,LTR,False,False,Scry,Doors of Durin,"Whenever you attack, scry 2, then you may reveal the top card of your library. If it's a creature card, put it onto the battlefield tapped and attacking. Until your next turn, it gains trample if you control a Dwarf and hexproof if you control an Elf.",Legendary Artifact,"If the creature put onto the battlefield this way is a Dwarf and/or Elf, Doors of Durin will see it when checking whether you control a Dwarf or Elf."
761,e856d95e-68b8-5980-90d4-d491ef60afd0,2015,MOC,False,False,"Scry, Flying, Vigilance, Haste, Convoke","Kasla, the Broken Halo","Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying, vigilance, haste
Whenever you cast another spell that has convoke, scry 2, then draw a card.",Legendary Creature — Angel Ally,"Kasla's last ability will trigger whether you tapped any creatures to pay for the spell or not, as long as it has convoke."
766,7b174648-e29c-5bb1-8b5a-54c686257888,1997,RVR,False,False,"Dredge, Mill",Golgari Grave-Troll,"This creature enters with a +1/+1 counter on it for each creature card in your graveyard.
{1}, Remove a +1/+1 counter from this creature: Regenerate this creature.
Dredge 6 (If you would draw a card, you may mill six cards instead. If you do, return this card from your graveyard to your hand.)",Creature — Troll Skeleton,"Because damage remains marked on a creature until it's removed as the turn ends, nonlethal damage dealt to Golgari Grave-Troll may become lethal if you remove +1/+1 counters from it during that turn. In this case, it dies before you can resolve the activated ability that will regenerate it.If you return Golgari Grave-Troll from your graveyard directly to the battlefield, its first ability counts itself."
767,03b11e61-5c3e-55a3-b8ae-97bfdaf98c85,2015,SIR,True,False,,Merciless Resolve,"As an additional cost to cast this spell, sacrifice a creature or land.
Draw two cards.",Instant,"You must sacrifice exactly one creature or land to cast Merciless Resolve. You can’t cast it without sacrificing a permanent, and you can’t sacrifice additional permanents.Players can respond to this spell only after it’s been cast and all its costs have been paid. No one can try to destroy the creature or land you sacrificed to stop you from casting this spell or to make you sacrifice a different one."
772,faef59a9-3ad0-5911-92f6-a8c99eca2ed2,2015,MAT,False,False,,Training Grounds,Activated abilities of creatures you control cost {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.,Enchantment,"If an activated ability of a creature you control costs no generic mana to activate (for example, if it costs {R}{R}, it costs {0}, or it costs only nonmana actions such as {T} or ""Sacrifice a creature""), Training Grounds simply won't affect it. In particular, it won't increase the cost to include a mana payment of {1}.Training Grounds takes the total cost to activate a creature's activated ability into account, not just the cost printed on it. For example, Urabrask has an activated ability that costs {R}, and Suppression Field says ""Activated abilities cost {2} more to activate unless they're mana abilities."" Since activating Urabrask's activated ability would now cost {2}{R}, Training Grounds reduces that cost back to {R}.Training Grounds can reduce the part of an activation cost represented by generic mana symbols down to nothing, as long as it still costs at least one mana. For example, if an activation cost is {2}{G}, you'd have to pay only {G}. If an activation cost is {2}, though, you'd still have to pay {1}.Training Grounds reduces the generic mana in waterbend costs for activated abilities. It will not reduce waterbend costs that are additional costs for casting spells.Training Grounds won't affect the part of an activation cost represented by colored mana symbols or snow mana symbols. It also won't affect nonmana parts of an activation cost, if there are any.Training Grounds affects only creatures you control on the battlefield. The costs of activated abilities that work in other zones (such as cycling or unearth) won't be reduced.Training Grounds can reduce the amount you pay for a creature's activated ability cost that includes {X}. For example, Drana, Kalastria Bloodchief has an activated ability that costs {X}{B}{B}. If you control Training Grounds and you activate the ability with X equal to 5, you'll have to pay only {3}{B}{B}. This is true even if the ability states that {X} must be paid with a certain color of mana, as Crimson Hellkite's ability does.Training Grounds won't affect a cost that isn't the cost to activate a creature's activated ability. For example, it won't affect Flameblast Dragon's {X}{R} cost, since that's a cost paid when a triggered ability resolves, and it won't affect a kicker cost, since that's an additional cost to cast a spell. Activated ability costs appear before a colon (:) in a card's rules text, or, in the case of some keywords, before a colon in reminder text."
779,06ffa86a-1497-5f85-981c-a59bd0fd4ea7,2015,PIP,False,False,,Dr. Madison Li,"Whenever you cast an artifact spell, you get {E} (an energy counter).
{T}, Pay {E}: Target creature gets +1/+0 and gains trample and haste until end of turn.
{T}, Pay {E}{E}{E}: Draw a card.
{T}, Pay {E}{E}{E}{E}{E}: Return target artifact card from your graveyard to the battlefield tapped.",Legendary Creature — Human Scientist,Dr. Madison Li’s first ability resolves before the spell that caused it to trigger.
787,745726fd-229a-599a-97be-b84743e0e6aa,2015,OTC,False,False,,Rampant Growth,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",Sorcery,The land does not count toward your one per turn limit because it was put onto the battlefield by an effect.
798,bba256d0-e2aa-5f88-8941-bd23bae9ec1a,2015,CMM,False,False,,Treasure Nabber,"Whenever an opponent taps an artifact for mana, gain control of that artifact until the end of your next turn.",Creature — Goblin Rogue,"If multiple players each control Treasure Nabbers, an artifact tapped for mana will make quite a journey. For example, if player A taps an artifact for mana during their turn, and players B and C are the next players in turn order who control Treasure Nabbers, C's ability resolves before B and C gains control of the artifact. Then B gains control of the artifact. B keeps it during their turn, and then C regains control of the artifact once B's effect expires, then A will have it back after C's expires. However, if B or C taps the artifact for mana, one of them will take it from the other. You may need to pay very careful attention to which effects are still in effect, which have expired, and who owns what.If you control multiple Treasure Nabbers, their effects all expire at the same time. You won't keep an artifact for any longer.In a multiplayer game, if a player leaves the game, all cards that player owns leave as well. If that player controls any nabbed treasures, the effect giving that player control of those artifacts ends.An artifact is ""tapped for mana"" when a player activates a mana ability of an artifact that includes {T} (the tap symbol). Notably, tapping an artifact to pay for a spell with the improvise keyword is not tapping that artifact for mana.If the artifact leaves the battlefield, Treasure Nabber doesn't nab it from the zone it moved to.The artifact remains tapped when you gain control of it.If an opponent taps an artifact for mana during your turn, you'll gain control of it and keep control of it until the end of your next turn."
804,fd9e1c7d-98e4-55af-86a6-e8fb6ffe482d,2015,PLCI,False,False,,Queen's Bay Paladin,"Whenever this creature enters or attacks, return up to one target Vampire card from your graveyard to the battlefield with a finality counter on it. You lose life equal to its mana value. (If a creature with a finality counter on it would die, exile it instead.)",Creature — Vampire Knight,"Finality counters don't stop permanents from going to zones other than the graveyard from the battlefield. For example, if a permanent with a finality counter on it would be put into its owner's hand from the battlefield, it does so normally.Finality counters aren't keyword counters, and a finality counter doesn't give any abilities to the permanent it's on. If that permanent loses its abilities and then would go to a graveyard, it will still be exiled instead."
810,b64ebf53-3bbe-5bcb-afbc-307f2976f36c,2015,SPG,False,False,Enchant,Maddening Hex,"Enchant player
Whenever enchanted player casts a noncreature spell, roll a d6. This Aura deals damage to that player equal to the result. Then attach this Aura to another one of your opponents chosen at random.",Enchantment — Aura Curse,"An ability that tells you to roll a die will also specify what to do with the result of that roll. Most often, this is in the form of a ""results table"" in the card text.If Maddening Hex is attached to your only opponent, it stays attached to that player as the ability resolves.An effect that says ""choose a target, then roll a d20"" or similar still uses the normal process of putting an ability on the stack and resolving it. Choosing targets is part of putting the ability on the stack and rolling the d20 happens later, as the ability resolves.Some effects may modify the result of a die roll. This may be part of the instruction to roll a die or it may come from other cards. Anything that references the ""result"" of a die roll is looking for the result after these modifications. Anything that is looking for the ""natural result"" is looking for the number shown on the face of the die before these modifications."
811,9d4fa5ef-64ce-5756-a2f5-78964b5cced4,2015,MKC,False,False,"Flying, Flash",Final-Word Phantom,"Flash
Flying
During each opponent's end step, you may cast spells as though they had flash.",Creature — Spirit Detective,"Final-Word Phantom’s last ability applies only to casting spells. It does not, for example, change when you may activate abilities that can be activated “only as a sorcery.”"
820,07b08f98-ead6-5c82-bd95-491140e87853,2015,CMM,False,False,,Mirage Mirror,"{2}: This artifact becomes a copy of target artifact, creature, enchantment, or land until end of turn.",Artifact,"If Mirage Mirror becomes a creature the same turn it enters the battlefield, you can't attack with it or use any of its {T} abilities (if it gains any) unless it has haste.If Mirage Mirror becomes a copy of an Aura, it's put into its owner's graveyard unless it's somehow attached to an appropriate object or player already. If it becomes a copy of an Equipment and is attached to a creature, it'll become unattached when it becomes a non-Equipment artifact again.If Mirage Mirror copies a permanent that's copying something else, it will become whatever the target is copying.Mirage Mirror copies the printed values of the target permanent, plus any copy effects that have been applied to it. It won't copy counters on that permanent or effects that have changed its power, toughness, types, color, or so on. Notably, it won't copy effects that made the target permanent become a creature.If Mirage Mirror becomes a copy of a legendary permanent you control, you'll put one of them into your graveyard.Once Mirage Mirror's ability resolves, it no longer has that ability.If an effect begins to apply to Mirage Mirror before it becomes a copy of another permanent, that effect will continue to apply. For example, if Mirage Mirror is activated twice in response to itself targeting first Rampaging Hippo then Frilled Sandwalla, the ability it has while it's a copy of Frilled Sandwalla can be activated and its effect will continue to apply while Mirage Mirror is a copy of Rampaging Hippo.If you activate Mirage Mirror's ability multiple times in a turn in response to itself, then each time one of those abilities resolves, it will overwrite whatever Mirage Mirror is copying. Mirage Mirror will wind up as a copy of the permanent targeted by the last ability to resolve. When the turn ends, all instances of the ability will wear off at the same time."
826,29ab8f3e-480a-523e-8301-5dab2f655190,2015,WOE,False,False,"Role token, Treasure, Haste",Charming Scoundrel,"Haste
When this creature enters, choose one —
• Discard a card, then draw a card.
• Create a Treasure token.
• Create a Wicked Role token attached to target creature you control.",Creature — Human Rogue,"Cards in the Wilds of Eldraine main set create six different Role tokens: Cursed, Monster, Royal, Sorcerer, Wicked, and Young Hero. A seventh Role token, Virtuous, is created by Ellivere of the Wild Court, the commander of the ""Virtue and Valor"" Commander Deck.Hexproof and shroud won't prevent a Role from becoming attached to a permanent if the ability creating that Role attached to that permanent doesn't target it.Some spells and abilities that create Role tokens require targets. If each target chosen is an illegal target as that spell or ability tries to resolve, it won't resolve. The Role token won't be created.A permanent can have multiple Roles attached to it if each one is controlled by a different player.In rare cases, a spell or ability might attempt to create a Role token enchanting a permanent that it can't legally enchant (because of an ability like protection from enchantments). In such cases, the Role token isn't created.Roles are colorless enchantment tokens. Each one has the Aura and Role subtypes and the enchant creature ability.If two or more Roles controlled by the same player become attached to a permanent at the same time (perhaps due to an effect such as that of Doubling Season), that player chooses which one to keep and which are put into their owners' graveyards.If a permanent has more than one Role attached to it controlled by the same player, each of those Roles except the one with the most recent timestamp is put into its owner's graveyard. This is a state-based action."
831,9dd96838-db8e-584a-aa53-975ebcc9db79,1997,RVR,False,False,,Putrefy,Destroy target artifact or creature. It can't be regenerated.,Instant,"This spell isn't modal. When it resolves, it will destroy the target if it's a creature or an artifact, even if it changed from one to the other between targeting and resolution."
833,aaf24b85-b4ac-55c3-81c9-c46632d23e3a,2015,WOE,False,False,,Agatha's Soul Cauldron,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.
Creatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.
{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",Legendary Artifact,"The granted abilities effectively use ""this permanent"" rather than ""[that card's name],"" so you treat the abilities as though they were printed on the creature that gained the ability. For example, say you exiled the card Argothian Sprite with Agatha's Soul Cauldron. Argothian Sprite has the ability ""{7}: Put two +1/+1 counters on Argothian Sprite."" If you controlled a Callous Sell-Sword with a +1/+1 counter on it, you'd treat it as though it had the ability ""{7}: Put two +1/+1 counters on Callous Sell-Sword.""Agatha's Soul Cauldron grants only activated abilities. It doesn't grant keyword abilities (unless those keyword abilities are activated), triggered abilities, or static abilities.Activated abilities contain a colon. They're generally written ""[Cost]: [Effect]."" Some keyword abilities are activated abilities and will have colons in their reminder text."
836,d26b27c4-3706-59d0-a1ca-ae8a2b9a26d9,2015,PIP,False,False,Treasure,"Mr. House, President and CEO","Whenever you roll a 4 or higher, create a 3/3 colorless Robot artifact creature token. If you rolled 6 or higher, instead create that token and a Treasure token.
{4}, {T}: Roll a six-sided die plus an additional six-sided die for each mana from Treasures spent to activate this ability.",Legendary Artifact Creature — Human,"The die rolls caused by Mr. House's last ability have no inherent effect. Abilities that trigger whenever you roll dice or whenever you roll a certain result, such as Mr. House's first ability, will trigger as appropriate.Some cards from other releases may instruct you to roll dice other than six-sided dice. Results of 4 or higher on those dice cause Mr. House's first ability to trigger."
846,8f4e4696-c78d-58e0-939b-3285dca7b366,2015,LCI,False,False,"Craft, Transform",Master's Guide-Mural // Master's Manufactory,"When this artifact enters, create a 4/4 white and blue Golem artifact creature token.
Craft with artifact {4}{W}{W}{U} ({4}{W}{W}{U}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner's control. Craft only as a sorcery.)",Artifact,"You may exile tokens you control as part of the materials required. However, because they aren't cards and won't stay in exile, any abilities that refer to what you ""used to craft"" the back faces won't refer to anything.If a card that isn't a transforming double-faced card becomes a copy of a card with craft, it'll stay in exile if you activate the craft ability. It won't return to the battlefield.The ability of Master's Manufactory can be activated no matter what happened to the artifact after it entered under your control. It may have left the battlefield, stopped being an artifact, or another player may have gained control of it.The back faces of some cards with craft refer to cards ""used to craft"" it. This refers to the cards exiled as part of the cost of the craft ability of the front face. Those cards are considered to be ""used to craft"" that permanent as long as they remain exiled and the permanent remains on the battlefield, even if the permanent's controller changes or some of its characteristics change (because of a copy effect, for example.)If the materials required include multiple objects, you may exile some of them from among permanents you control and the rest from among cards in your graveyard. You don't have to choose all permanents or all cards from your graveyard."
