Token,IOB2
it,O
,,O
then,O
untap,O
Shackles,O
and,O
do,O
it,O
again,O
the,O
following,O
turn,O
.,O
#,O
67,O
.,O

Breya,B-CREATURE
,,I-CREATURE
Etherium,I-CREATURE
Shaper,I-CREATURE
Breya,B-CREATURE
,,I-CREATURE
Etherium,I-CREATURE
Shaper,I-CREATURE
was,O
incredibly,O
popular,O
when,O
it,O
first,O
released,O
,,O
but,O
18,O
million,O
new,O
legends,O
will,O
put,O
a,O
damper,O
on,O
any,O
commander,O
’,O
s,O
popularity,O
.,O

Players,O
likely,O
enjoy,O
the,O
artifact,O
commander,O
's,O
open-endedness,O
.,O

You,O
can,O
lean,O
into,O
interesting,O
artifact,O
synergies,O
or,O
go,O
full,O
combo,O
with,O
Nim,B-ARTIFACT
Deathmantle,I-ARTIFACT
and,O
Ashnod,B-ARTIFACT
's,I-ARTIFACT
Altar,I-ARTIFACT
.,O
#,O
66,O
.,O

Thunderhawk,B-ARTIFACT
Gunship,I-ARTIFACT
Thunderhawk,B-ARTIFACT
Gunship,I-ARTIFACT
impressed,O
me,O
out,O
of,O
the,O
Warhammer,O
40k,O
decks,O
.,O

It,O
’,O
s,O
not,O
much,O
of,O
an,O
exaggeration,O
to,O
say,O
this,O
is,O
Grave,B-CREATURE
Titan,I-CREATURE
with,O
wings,O
,,O
and,O
it,O
’,O
s,O
sometimes,O
even,O
better,O
since,O
it,O
jumps,O
your,O
entire,O
team,O
in,O
the,O
air,O
.,O
#,O
65,O
.,O

Sword,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
Animist,I-ARTIFACT
It,O
’,O
s,O
funny,O
to,O
think,O
that,O
Treasure,B-ARTIFACT
tokens,O
have,O
somewhat,O
eclipsed,O
other,O
forms,O
of,O
colorless,O
ramp,O
,,O
but,O
I,O
find,O
Sword,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
Animist,I-ARTIFACT
still,O
pulls,O
its,O
weight,O
.,O

Check,O
out,O
Bitterthorn,B-ARTIFACT
,,I-ARTIFACT
Nissa,I-ARTIFACT
's,I-ARTIFACT
Animus,I-ARTIFACT
for,O
the,O
Phyrexianized,O
version,O
.,O
#,O
64,O
.,O

Phyrexian,B-CREATURE
Metamorph,I-CREATURE
Phyrexian,B-CREATURE
Metamorph,I-CREATURE
was,O
once,O
the,O
undisputed,O
best,O
clone,O
in,O
Commander,O
,,O
but,O
10+,O
years,O
of,O
set,O
releases,O
have,O
provided,O
competition,O
.,O

It,O
's,O
still,O
one,O
of,O
blue,O
's,O
best,O
artifacts,O
,,O
though,O
:,O
the,O
combination,O
of,O
copying,O
artifacts,O
and,O
effectively,O
costing,O
3,O
colorless,O
mana,O
keeps,O
it,O
relevant,O
.,O
#,O
63,O
.,O

Basalt,B-ARTIFACT
Monolith,I-ARTIFACT
Basalt,B-ARTIFACT
Monolith,I-ARTIFACT
is,O
a,O
fiddly,O
untapping,O
artifact,O
that,O
can,O
give,O
you,O
a,O
burst,O
of,O
mana,O
,,O
though,O
it,O
’,O
s,O
more,O
commonly,O
used,O
for,O
evil,O
.,O

It,O
produces,O
infinite,O
combos,O
with,O
Mesmeric,B-ARTIFACT
Orb,I-ARTIFACT
,,O
Zirda,B-CREATURE
,,I-CREATURE
the,I-CREATURE
Dawnwaker,I-CREATURE
,,O
Rings,B-ARTIFACT
of,I-ARTIFACT
Brighthearth,I-ARTIFACT
,,O
Wake,B-CREATURE
Thrasher,I-CREATURE
…,O
you,O
get,O
the,O
point,O
.,O
#,O
62,O
.,O

The,B-ARTIFACT
Ozolith,I-ARTIFACT
The,O
ultimate,O
counters,O
card,O
,,O
no,O
matter,O
what,O
kind,O
of,O
counters,O
you,O
’,O
re,O
working,O
with,O
,,O
thanks,O
to,O
its,O
excellent,O
leaves-the-battlefield,O
trigger,O
.,O

The,B-ARTIFACT
Ozolith,I-ARTIFACT
would,O
be,O
a,O
must-play,O
1,O
counter,O
card,O
were,O
the,O
price,O
not,O
so,O
high,O
(,O
$,O
20+,O
at,O
the,O
time,O
of,O
writing,O
),O
.,O

It,O
can,O
move,O
any,O
type,O
of,O
counters,O
,,O
including,O
ability,O
counters,O
,,O
which,O
was,O
intentional,O
given,O
its,O
original,O
printing,O
in,O
Ikoria,O
.,O
#,O
61,O
.,O

Staff,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
Storyteller,I-ARTIFACT
Staff,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
Storyteller,I-ARTIFACT
is,O
an,O
interesting,O
one,O
from,O
Phyexia,O
:,O
All,O
Will,O
Be,O
One,O
Commander,O
,,O
and,O
a,O
cool,O
way,O
to,O
get,O
card,O
advantage,O
in,O
a,O
token,O
deck,O
.,O

Every,O
instance,O
of,O
creating,O
creature,O
tokens,O
is,O
worth,O
a,O
card,O
,,O
though,O
it,O
takes,O
some,O
time,O
and,O
mana,O
to,O
cash,O
in,O
on,O
those,O
story,O
counters,O
.,O
#,O
60,O
.,O

Idol,B-ARTIFACT
of,I-ARTIFACT
Oblivion,I-ARTIFACT
Idol,B-ARTIFACT
of,I-ARTIFACT
Oblivion,I-ARTIFACT
gets,O
the,O
nod,O
over,O
Staff,B-ARTIFACT
of,I-ARTIFACT
the,I-ARTIFACT
Storyteller,I-ARTIFACT
by,O
virtue,O
of,O
being,O
colorless,O
.,O

Though,O
no,O
one,O
’,O
s,O
stopping,O
you,O
from,O
running,O
both,O
behind,O
a,O
white,O
commander,O
!,O
The,O
10-Oct,O
Eldrazi,O
text,O
barely,O
matters,O
;,O
this,O
is,O
just,O
a,O
card,O
draw,O
engine,O
through,O
and,O
through,O
.,O
#,O
59,O
.,O

Angel,B-CREATURE
of,I-CREATURE
the,I-CREATURE
Ruins,I-CREATURE
What,O
’,O
s,O
worse,O
than,O
being,O
an,O
artifact/enchantment,O
deck,O
targeted,O
by,O
Return,B-INSTANT
to,I-INSTANT
Dust,I-INSTANT
?,O
What,O
if,O
it,O
came,O
on,O
a,O
5-Jul,O
flying,O
body,O
that,O
easily,O
cycles,O
into,O
the,O
graveyard,O
for,O
reanimation,O
effects,O
and,O
provides,O
an,O
ETB,O
that,O
’,O
s,O
easy,O
to,O
flicker,O
and,O
reuse,O
?,O
Yeah,O
,,O
that,O
’,O
s,O
Angel,B-CREATURE
of,I-CREATURE
the,I-CREATURE
Ruins,I-CREATURE
,,O
one,O
of,O
the,O
best,O
artifact/enchantment,O
removal,O
effects,O
in,O
white,O
.,O
#,O
58,O
.,O

Sundering,B-CREATURE
Titan,I-CREATURE
Ban,O
list,O
alert,O
!,O
Sundering,B-CREATURE
Titan,I-CREATURE
was,O
nixed,O
from,O
Commander,O
for,O
its,O
oppressive,O
mass,O
land,O
destruction,O
potential,O
.,O

It,O
blows,O
up,O
lands,O
on,O
the,O
way,O
and,O
out,O
,,O
which,O
means,O
a,O
regular,O
flicker,O
effect,O
triggers,O
this,O
ability,O
twice,O
.,O

With,O
the,O
prevalence,O
of,O
triomes,O
and,O
dual,O
lands,O
,,O
Titan,O
can,O
destroy,O
five,O
lands,O
per,O
trigger,O
without,O
harming,O
your,O
own,O
mana,O
base,O
.,O
#,O
57,O
.,O

Commander,B-ARTIFACT
’,I-ARTIFACT
s,I-ARTIFACT
Plate,I-ARTIFACT
Commander,B-ARTIFACT
's,I-ARTIFACT
Plate,I-ARTIFACT
is,O
an,O
excellent,O
piece,O
of,O
equipment,O
that,O
scales,O
best,O
with,O
mono-colored,O
decks,O
.,O

It,O
’,O
s,O
usually,O
a,O
Vulshok,B-ARTIFACT
Battlegear,I-ARTIFACT
that,O
makes,O
your,O
commander,O
immune,O
to,O
combat,O
and,O
most,O
forms,O
of,O
removal,O
.,O
#,O
56,O
.,O

The,B-ARTIFACT
Immortal,I-ARTIFACT
Sun,I-ARTIFACT
The,B-ARTIFACT
Immortal,I-ARTIFACT
Sun,I-ARTIFACT
combines,O
four,O
useful,O
abilities,O
on,O
one,O
card,O
,,O
but,O
it,O
’,O
s,O
also,O
a,O
6-mana,O
artifact,O
that,O
you,O
need,O
to,O
untap,O
with,O
before,O
you,O
get,O
any,O
real,O
value,O
off,O
it,O
.,O

That,O
makes,O
it,O
removal,O
target,O
#,O
1,O
for,O
everyone,O
,,O
and,O
players,O
run,O
more,O
artifact,O
removal,O
these,O
days,O
,,O
so,O
it,O
doesn,O
’,O
t,O
actually,O
stick,O
around,O
that,O
often,O
.,O
#,O
55,O
.,O

Ramos,B-CREATURE
,,I-CREATURE
Dragon,I-CREATURE
Engine,I-CREATURE
Ramos,B-CREATURE
,,I-CREATURE
Dragon,I-CREATURE
Engine,I-CREATURE
is,O
your,O
typical,O
5-color,O
commander,O
.,O

You,O
can,O
build,O
around,O
it,O
however,O
you,O
want,O
,,O
though,O
Ramos,B-CREATURE
specifically,O
incentivizes,O
multi-colored,O
cards,O
.,O

It,O
can,O
also,O
one-shot,O
players,O
out,O
of,O
nowhere,O
,,O
and,O
it,O
creates,O
large,O
bursts,O
of,O
mana,O
,,O
just,O
enough,O
to,O
activate,O
Door,B-ARTIFACT
to,I-ARTIFACT
Nothingness,I-ARTIFACT
.,O
#,O
54,O
.,O

Mox,B-ARTIFACT
Amber,I-ARTIFACT
Mox,B-ARTIFACT
Amber,I-ARTIFACT
excels,O
in,O
legends-matter,O
decks,O
and,O
flounders,O
anywhere,O
else,O
.,O

The,O
word,O
“,O
Mox,O
”,O
usually,O
indicates,O
a,O
powerful,O
card,O
,,O
though,O
most,O
of,O
them,O
are,O
either,O
banned,O
in,O
Commander,O
or,O
tuned,O
for,O
Constructed/,O
cEDH,O
.,O
#,O
53,O
.,O

Banner,B-ARTIFACT
of,I-ARTIFACT
Kinship,I-ARTIFACT
Banner,B-ARTIFACT
of,I-ARTIFACT
Kinship,I-ARTIFACT
is,O
a,O
bonkers,O
upgrade,O
on,O
Coat,B-ARTIFACT
of,I-ARTIFACT
Arms,I-ARTIFACT
that,O
is,O
not,O
global,O
,,O
and,O
a,O
hugely,O
impactful,O
anthem,O
that,O
mice,O
,,O
goblins,O
and,O
vampires,O
and,O
any,O
wide,O
tribe,O
can,O
destroy,O
players,O
with,O
.,O
#,O
52,O
.,O

Relic,B-ARTIFACT
of,I-ARTIFACT
Legends,I-ARTIFACT
I,O
’,O
m,O
already,O
a,O
big,O
fan,O
of,O
Honor-Worn,B-ARTIFACT
Shaku,I-ARTIFACT
,,O
and,O
Relic,B-ARTIFACT
of,I-ARTIFACT
Legends,I-ARTIFACT
fits,O
a,O
similar,O
mold,O
for,O
decks,O
full,O
of,O
legends,O
.,O

Some,O
players,O
claim,O
that,O
3-,O
mana,O
valuerocks,O
“,O
aren,O
’,O
t,O
playable,O
in,O
Commander,O
anymore.,O
”,O
Nay,O
,,O
I,O
say,O
;,O
you,O
’,O
re,O
just,O
not,O
playing,O
the,O
right,O
ones,O
.,O
#,O
51,O
.,O

Krark-Clan,B-ARTIFACT
Ironworks,I-ARTIFACT
Krark-Clan,B-ARTIFACT
Ironworks,I-ARTIFACT
fits,O
a,O
narrower,O
range,O
of,O
decks,O
than,O
Ashnod,B-ARTIFACT
's,I-ARTIFACT
Altar,I-ARTIFACT
,,O
which,O
I,O
promise,O
we,O
’,O
re,O
getting,O
to,O
.,O

It,O
was,O
banned,O
in,O
Modern,O
for,O
encouraging,O
strong,O
,,O
lengthy,O
combos,O
,,O
but,O
there,O
’,O
s,O
nothing,O
stopping,O
you,O
from,O
recreating,O
those,O
combos,O
in,O
Commander,O
.,O
#,O
50,O
.,O

Canoptek,B-CREATURE
Scarab,I-CREATURE
Swarm,I-CREATURE
Throw,O
a,O
dart,O
at,O
a,O
wall,O
of,O
Warhammer,O
40k,O
cards,O
and,O
odds,O
are,O
you,O
hit,O
something,O
super,O
powerful,O
.,O

Case,O
in,O
point,O
:,O
Canoptek,B-CREATURE
Scarab,I-CREATURE
Swarm,I-CREATURE
.,O

It,O
’,O
s,O
an,O
insect,O
army,O
in,O
a,O
can,O
that,O
feasts,O
on,O
an,O
opponent,O
’,O
s,O
graveyard,O
.,O

Colorless,O
too,O
?,O
Ship,O
it,O
!,O
#,O
49,O
.,O

Conjurer,B-ARTIFACT
’,I-ARTIFACT
s,I-ARTIFACT
Closet,I-ARTIFACT
Conjurer,B-ARTIFACT
's,I-ARTIFACT
Closet,I-ARTIFACT
is,O
beloved,O
by,O
blink,O
players,O
everywhere,O
,,O
though,O
being,O
colorless,O
is,O
the,O
only,O
thing,O
keeping,O
it,O
around,O
.,O

Soulherder,B-CREATURE
,,O
Teleportation,B-ENCHANTMENT
Circle,O
,,O
and,O
Thassa,B-CREATURE
,,I-CREATURE
Deep-Dwelling,I-CREATURE
are,O
all,O
cheaper,O
and,O
better,O
,,O
but,O
not,O
every,O
deck,O
can,O
run,O
them,O
or,O
wait,O
until,O
the,O
end,O
step,O
.,O

Plus,O
,,O
some,O
decks,O
just,O
want,O
critical,O
mass,O
of,O
these,O
effects,O
.,O
#,O
48,O
.,O

Altar,B-ARTIFACT
of,I-ARTIFACT
Dementia,I-ARTIFACT
There,O
’,O
s,O
that,O
“,O
Altar,O
”,O
word,O
again,O
,,O
and,O
this,O
isn,O
’,O
t,O
even,O
one,O
of,O
the,O
best,O
ones,O
.,O

Altar,B-ARTIFACT
of,I-ARTIFACT
Dementia,I-ARTIFACT
is,O
a,O
free,O
sac,O
outlet,O
that,O
can,O
mill,O
players,O
out,O
with,O
the,O
right,O
combination,O
of,O
recursive,O
creatures,O
,,O
though,O
it,O
’,O
s,O
also,O
great,O
at,O
fueling,O
your,O
own,O
graveyard,O
,,O
too,O
.,O
#,O
47,O
.,O

Solemn,B-CREATURE
Simulacrum,I-CREATURE
I,O
wo,O
n't,O
entertain,O
any,O
discourse,O
about,O
Solemn,B-CREATURE
Simulacrum,I-CREATURE
falling,O
behind,O
the,O
times,O
in,O
Commander,O
.,O

It,O
’,O
s,O
the,O
classic,O
better,O
than,O
your,O
average,O
cantrip,O
,,O
3-for-1,O
we,O
all,O
know,O
and,O
love,O
,,O
and,O
I,O
’,O
m,O
still,O
happy,O
to,O
run,O
a,O
copy,O
in,O
most,O
decks,O
.,O

Remember,O
:,O
Deck,O
optimization,O
isn,O
’,O
t,O
a,O
requirement,O
to,O
play,O
and,O
enjoy,O
Commander,O
.,O
#,O
46,O
.,O

Agatha,B-ARTIFACT
’,I-ARTIFACT
s,I-ARTIFACT
Soul,I-ARTIFACT
Cauldron,I-ARTIFACT
Agatha,B-ARTIFACT
's,I-ARTIFACT
Soul,I-ARTIFACT
Cauldron,I-ARTIFACT
messes,O
around,O
with,O
activated,O
abilities,O
,,O
which,O
is,O
fairly,O
novel,O
territory,O
in,O
Magic,O
,,O
and,O
it,O
provides,O
incidental,O
graveyard,O
hate,O
while,O
doing,O
so,O
.,O
“,O
Activated,O
ability,O
”,O
decks,O
are,O
more,O
of,O
a,O
thing,O
than,O
ever,O
thanks,O
to,O
this,O
card,O
,,O
and,O
it,O
opens,O
up,O
some,O
interesting,O
lines,O
of,O
play,O
.,O

And,O
combos,O
of,O
course,O
.,O

Always,O
with,O
the,O
combos,O
.,O
#,O
45,O
.,O

Shorikai,B-ARTIFACT
,,I-ARTIFACT
Genesis,I-ARTIFACT
Engine,I-ARTIFACT
Even,O
ignoring,O
obvious,O
infinites,O
with,O
Intruder,B-ENCHANTMENT
Alarm,I-ENCHANTMENT
,,O
Shorikai,B-ARTIFACT
,,I-ARTIFACT
Genesis,I-ARTIFACT
Engine,I-ARTIFACT
is,O
just,O
a,O
sweet,O
value,O
engine,O
.,O

Get,O
it,O
,,O
engine,O
?,O
‘,O
Cuz,O
it,O
’,O
s,O
a,O
vehicle,O
?,O
Sorry,O
,,O
guess,O
I,O
’,O
ll,O
pilot,O
myself,O
outta,O
here,O
.,O

In,O
all,O
seriousness,O
,,O
it,O
’,O
s,O
also,O
just,O
really,O
cool,O
to,O
have,O
a,O
vehicle,O
as,O
your,O
commander,O
.,O
#,O
44,O
.,O

Midnight,B-ARTIFACT
Clock,I-ARTIFACT
Ask,O
not,O
for,O
whom,O
the,O
Midnight,B-ARTIFACT
Clock,I-ARTIFACT
ticks,O
.,O

Here,O
’,O
s,O
another,O
top-tier,O
3-MV,O
mana,O
rock,O
,,O
one,O
that,O
gives,O
blue,O
access,O
to,O
some,O
coveted,O
ramp,O
,,O
then,O
becomes,O
a,O
draw-7,O
in,O
just,O
a,O
few,O
turn,O
cycles,O
.,O
#,O
43,O
.,O

Roaming,B-CREATURE
Throne,I-CREATURE
Roaming,B-CREATURE
Throne,I-CREATURE
plays,O
intense,O
piano,O
music,O
for,O
me,O
.,O

It,O
copies,O
all,O
triggered,O
abilities,O
of,O
the,O
chosen,O
creature,O
type,O
,,O
not,O
just,O
ETBs,O
,,O
which,O
opens,O
up,O
so,O
many,O
more,O
interactions,O
than,O
the,O
average,O
Panharmonicon,B-ARTIFACT
effect,O
.,O

Ward,O
is,O
also,O
more,O
of,O
a,O
nuisance,O
than,O
you,O
’,O
d,O
expect,O
in,O
Commander,O
.,O
#,O
42,O
.,O

Shadowspear,B-ARTIFACT
Farewell,I-ARTIFACT
,,O
Loxodon,B-ARTIFACT
Warhammer,I-ARTIFACT
.,O

I,O
wouldn,O
’,O
t,O
fault,O
anyone,O
for,O
running,O
Warhammer,O
,,O
but,O
Shadowspear,B-ARTIFACT
certainly,O
modernized,O
the,O
design,O
,,O
lowering,O
the,O
cost,O
to,O
cast,O
and,O
equip,O
and,O
added,O
in,O
a,O
ridiculous,O
activated,O
ability,O
that,O
gets,O
around,O
hexproof,O
and,O
indestructible,O
that,O
no,O
one,O
remembers,O
until,O
it,O
’,O
s,O
too,O
late,O
.,O
#,O
41,O
.,O

Akroma,B-ARTIFACT
’,I-ARTIFACT
s,I-ARTIFACT
Memorial,I-ARTIFACT
If,O
you,O
’,O
re,O
going,O
to,O
flat,O
out,O
spend,O
7,O
mana,O
on,O
a,O
card,O
,,O
it,O
better,O
have,O
the,O
impact,O
that,O
Akroma,B-ARTIFACT
's,I-ARTIFACT
Memorial,I-ARTIFACT
does,O
.,O

Drop,O
this,O
and,O
suddenly,O
all,O
your,O
creatures,O
become,O
deadly,O
threats,O
,,O
with,O
double,O
protection,O
to,O
make,O
combat,O
miserable,O
for,O
your,O
opponents,O
.,O

As,O
if,O
the,O
whole,O
flying/,O
first,O
strike,O
/,O
trample,O
trifecta,O
weren,O
’,O
t,O
already,O
enough,O
.,O
#,O
40,O
.,O

Nevinyrral,B-ARTIFACT
’,I-ARTIFACT
s,I-ARTIFACT
Disk,I-ARTIFACT
Nevinyrral,B-ARTIFACT
's,I-ARTIFACT
Disk,I-ARTIFACT
is,O
cheaper,O
than,O
most,O
colorless,O
sweepers,O
,,O
but,O
the,O
effect,O
is,O
on,O
a,O
turn,O
’,O
s,O
delay,O
.,O

Players,O
are,O
often,O
scared,O
to,O
overextend,O
into,O
Disk,O
and,O
don,O
’,O
t,O
play,O
anything,O
at,O
all,O
,,O
which,O
prompts,O
you,O
to,O
leave,O
its,O
activation,O
up,O
as,O
a,O
threat,O
without,O
actually,O
using,O
it,O
.,O

It,O
’,O
s,O
also,O
an,O
obnoxious,O
combo,O
with,O
indestructible,O
effects,O
,,O
since,O
it,O
normally,O
destroys,O
itself,O
instead,O
of,O
sacrificing,O
as,O
a,O
cost,O
.,O
#,O
39,O
.,O

Blightsteel,B-CREATURE
Colossus,I-CREATURE
Blightsteel,B-CREATURE
Colossus,I-CREATURE
is,O
almost,O
single-handedly,O
responsible,O
for,O
millions,O
of,O
players,O
’,O
disgust,O
towards,O
infect,O
.,O

It,O
’,O
s,O
basically,O
part,O
of,O
the,O
Phage,B-CREATURE
the,I-CREATURE
Untouchable,I-CREATURE
club,O
since,O
it,O
can,O
one-shot,O
people,O
,,O
though,O
I,O
think,O
the,O
infect,O
hate,O
is,O
undeserved,O
.,O

A,O
topic,O
for,O
another,O
time,O
,,O
I,O
suppose,O
.,O
#,O
38,O
.,O

MH2,O
Bridges,O
Modern,O
Horizons,O
2,O
tweaked,O
the,O
artifact,O
land,O
formula,O
,,O
designing,O
them,O
as,O
indestructible,O
taplands,O
.,O

That,O
way,O
you,O
can,O
add,O
to,O
your,O
artifact,O
count,O
without,O
losing,O
them,O
to,O
a,O
stray,O
Austere,B-SORCERY
Command,I-SORCERY
.,O

Exile-based,O
removal…,O
well,O
that,O
still,O
gets,O
‘,O
em,O
.,O
#,O
37,O
.,O

Smuggler,B-ARTIFACT
’,I-ARTIFACT
s,I-ARTIFACT
Copter,I-ARTIFACT
Wizards,O
overshot,O
their,O
first,O
attempt,O
at,O
vehicles,O
,,O
at,O
least,O
as,O
far,O
as,O
Smuggler,B-ARTIFACT
's,I-ARTIFACT
Copter,I-ARTIFACT
is,O
concerned,O
.,O

This,O
chopper,O
holds,O
up,O
in,O
Commander,O
,,O
and,O
lets,O
you,O
convert,O
any,O
small,O
creature,O
into,O
a,O
hefty,O
flying,O
looter,O
scooter,O
.,O

Why,O
does,O
it,O
loot,O
on,O
blocks,O
too,O
?,O
The,O
world,O
may,O
never,O
know,O
.,O
#,O
36,O
.,O

Mindslaver,B-ARTIFACT
Mindslaver,B-ARTIFACT
effects,O
are,O
an,O
utterly,O
demoralizing,O
way,O
to,O
lose,O
a,O
game,O
.,O

They,O
’,O
re,O
“,O
stop,O
hitting,O
yourself,O
”,O
incarnate,O
,,O
and,O
people,O
despise,O
them,O
.,O

You,O
can,O
thank,O
OG,O
Mindslaver,B-ARTIFACT
for,O
that,O
,,O
which,O
sees,O
play,O
in,O
big,O
mana,O
decks,O
,,O
artifact,O
decks,O
,,O
or,O
decks,O
that,O
can,O
tap,O
into,O
its,O
legendary,O
artifact,O
status,O
.,O
#,O
35,O
.,O

Birthing,B-ARTIFACT
Pod,I-ARTIFACT
The,O
card,O
that,O
birthed,O
an,O
entire,O
subcategory,O
of,O
cards,O
and,O
pod,O
commanders,O
.,O

Birthing,B-ARTIFACT
Pod,I-ARTIFACT
and,O
cards,O
like,O
it,O
are,O
fun,O
to,O
build,O
around,O
,,O
and,O
ask,O
you,O
to,O
incorporate,O
a,O
chain,O
of,O
creatures,O
in,O
your,O
deck,O
so,O
you,O
can,O
work,O
towards,O
gradually,O
more,O
and,O
more,O
expensive,O
creatures,O
.,O
“,O
Pod,O
decks,O
”,O
usually,O
devolve,O
into,O
combo,O
decks,O
,,O
but,O
fair,O
Pod,O
decks,O
exist,O
too,O
,,O
using,O
it,O
as,O
a,O
value,O
engine,O
.,O
#,O
34,O
.,O

Baleful,B-CREATURE
Strix,I-CREATURE
Perhaps,O
the,O
cleanest,O
Magic,O
design,O
ever,O
put,O
to,O
paper,O
?,O
One,O
of,O
Magic,O
's,O
best,O
birds,O
,,O
Baleful,B-CREATURE
Strix,I-CREATURE
is,O
the,O
ultimate,O
2-for-1,O
,,O
drawing,O
a,O
card,O
now,O
and,O
trading,O
for,O
something,O
later,O
,,O
whether,O
that,O
’,O
s,O
a,O
removal,O
spell,O
or,O
another,O
creature,O
.,O
#,O
33,O
.,O

Archaeomancer,B-ARTIFACT
’,I-ARTIFACT
s,I-ARTIFACT
Map,I-ARTIFACT
White,O
ramp,O
?,O
In,O
this,O
economy,O
?,O
Archaeomancer,B-ARTIFACT
's,I-ARTIFACT
Map,I-ARTIFACT
is,O
Burgeoning,B-ENCHANTMENT
#NAME?,O
that,O
draws,O
two,O
lands,O
on,O
ETB,O
,,O
It,O
’,O
s,O
highly,O
effective,O
as,O
a,O
white,O
card,O
,,O
since,O
white,O
doesn,O
’,O
t,O
have,O
as,O
many,O
options,O
for,O
ramp,O
effects,O
.,O
#,O
32,O
.,O

The,O
Boots,O
Commanders,O
are,O
often,O
essential,O
to,O
their,O
decks,O
,,O
so,O
you,O
want,O
to,O
ensure,O
they,O
stay,O
protected,O
,,O
and,O
there,O
’,O
s,O
no,O
equipment,O
quite,O
as,O
protective,O
as,O
Swiftfoot,B-ARTIFACT
Boots,I-ARTIFACT
and,O
Lightning,B-ARTIFACT
Greaves,I-ARTIFACT
.,O

Greaves,O
is,O
usually,O
the,O
first,O
choice,O
,,O
followed,O
by,O
Boots,O
if,O
you,O
plan,O
on,O
targeting,O
your,O
own,O
creatures,O
a,O
lot,O
,,O
and,O
some,O
decks,O
are,O
happy,O
with,O
a,O
copy,O
of,O
each,O
.,O

Outlaws,O
of,O
Thunder,O
Junction,O
gave,O
us,O
the,O
Greave,O
's,O
at,O
home,O
version,O
in,O
Lavaspur,B-ARTIFACT
Boots,I-ARTIFACT
,,O
thankfully,O
the,O
power,O
boost,O
helps,O
offset,O
how,O
much,O
worse,O
ward,O
is,O
as,O
a,O
targeting-deterrent,O
,,O
but,O
it,O
's,O
still,O
several,O
notches,O
below,O
the,O
other,O
two,O
.,O
#,O
31,O
.,O

Sword,B-ARTIFACT
of,I-ARTIFACT
Hearth,I-ARTIFACT
and,I-ARTIFACT
Home,I-ARTIFACT
All,O
the,O
“,O
Sword,O
of,O
X,O
and,O
Y,O
”,O
cards,O
are,O
great,O
,,O
but,O
I,O
limit,O
my,O
inclusions,O
here,O
to,O
the,O
absolute,O
best,O
of,O
the,O
card,O
cycle,O
.,O

Sword,B-ARTIFACT
of,I-ARTIFACT
Hearth,I-ARTIFACT
and,I-ARTIFACT
Home,I-ARTIFACT
provides,O
blink,O
and,O
ramp,O
all,O
at,O
once,O
,,O
making,O
it,O
perhaps,O
the,O
most,O
value-oriented,O
sword,O
.,O
#,O
30,O
.,O

Sword,B-ARTIFACT
of,I-ARTIFACT
Forge,I-ARTIFACT
and,I-ARTIFACT
Frontier,I-ARTIFACT
Let,O
’,O
s,O
tackle,O
Sword,B-ARTIFACT
of,I-ARTIFACT
Forge,I-ARTIFACT
and,I-ARTIFACT
Frontier,I-ARTIFACT
,,O
too,O
.,O

It,O
’,O
s,O
another,O
value,O
sword,O
that,O
offers,O
ramp,O
+,O
card,O
advantage,O
,,O
similar,O
to,O
Sword,B-ARTIFACT
of,I-ARTIFACT
Hearth,I-ARTIFACT
and,I-ARTIFACT
Home,I-ARTIFACT
but,O
with,O
better,O
protection,O
.,O

Pro-red,O
dodges,O
most,O
red,O
removal,O
,,O
especially,O
board,O
wipes,O
like,O
Blasphemous,B-SORCERY
Act,I-SORCERY
.,O
#,O
29,O
.,O

Wurmcoil,B-CREATURE
Engine,I-CREATURE
If,O
Baleful,B-CREATURE
Strix,I-CREATURE
is,O
in,O
the,O
Top,O
10,O
best,O
designs,O
ever,O
,,O
Wurmcoil,B-CREATURE
Engine,I-CREATURE
deserves,O
a,O
slot,O
in,O
the,O
Top,O
10,O
Coolest,O
.,O

Lifelink,O
makes,O
the,O
card,O
,,O
and,O
allows,O
Wurmcoil,O
to,O
immediately,O
stabilize,O
just,O
about,O
any,O
board,O
.,O
#,O
28,O
.,O

Scroll,B-ARTIFACT
Rack,I-ARTIFACT
Now,O
we,O
transition,O
into,O
powerhouse,O
artifact,O
territory,O
,,O
including,O
hyper-efficient,O
and,O
completely,O
broken,O
artifacts,O
.,O

Scroll,B-ARTIFACT
Rack,I-ARTIFACT
’,O
s,O
an,O
excellent,O
way,O
to,O
dig,O
for,O
answers,O
,,O
stack,O
your,O
library,O
for,O
top-deck,O
cards,O
like,O
miracles,O
or,O
Future,B-ENCHANTMENT
Sight,I-ENCHANTMENT
,,O
or,O
even,O
just,O
exchange,O
cards,O
you,O
don,O
’,O
t,O
need,O
in,O
your,O
hand,O
to,O
tuck,O
away,O
with,O
a,O
shuffle,O
effect,O
.,O
#,O
27,O
.,O
2-Mana,O
Value,O
Mana,O
Rocks,O
