,uuid,frameVersion,setCode,isOnlineOnly,isTextless,keywords,name,text,type,rules,leaked_names,has_leakage
762,30b88127-e1f4-5277-ba2d-2477f2b68246,2015,SCD,False,False,Flying,Scourge of Valkas,"Flying
Whenever this creature or another Dragon you control enters, it deals X damage to any target, where X is the number of Dragons you control.
{R}: This creature gets +1/+0 until end of turn.",Creature — Dragon,"The amount of damage dealt by the Dragon that entered the battlefield is based on the number of Dragons you control when the ability resolves.If a Dragon entering the battlefield causes Scourge of Valkas's ability to trigger but leaves the battlefield before that ability resolves, that Dragon still deals damage.",[],False
765,7042e93e-cf30-5de1-be1b-af603df94c11,2015,LTR,False,False,Equip,Bilbo's Ring,"During your turn, equipped creature has hexproof and can't be blocked.
Whenever equipped creature attacks alone, you draw a card and you lose 1 life.
Equip Halfling {1} ({1}: Attach to target Halfling you control. Equip only as a sorcery.)
Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",Legendary Artifact — Equipment,"A creature attacks alone if it's the only creature declared as an attacker during the declare attackers step. For example, Bilbo's Ring's second ability won't trigger if you attack with multiple creatures and all but one of them are removed from combat.",[],False
772,42f5939f-4a62-5927-8b8b-c55f762b2fc6,2015,ONE,False,False,Proliferate,Ichormoon Gauntlet,"Planeswalkers you control have ""[0]: Proliferate"" and ""[−12]: Take an extra turn after this one.""
Whenever you cast a noncreature spell, choose a counter on target permanent. Put an additional counter of that kind on that permanent.",Artifact,"Only one loyalty ability of each planeswalker may be activated per turn, no matter how many it has gained.",[],False
786,97a56d8e-0b18-5c84-92aa-074167844509,2015,PMKM,False,False,"Investigate, Deathtouch","Teysa, Opulent Oligarch","Deathtouch
At the beginning of your end step, investigate for each opponent who lost life this turn.
Whenever a Clue you control is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying. This ability triggers only once each turn.",Legendary Creature — Human Advisor,"If an opponent lost life and subsequently lost the game, Teysa's second ability still counts that player when determining how many times to investigate.",[],False
794,798f944f-a711-584d-a15b-d8ee886f68c0,2015,DMR,False,False,,Force of Will,"You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost.
Counter target spell.",Instant,"To determine the total cost of a spell, start with the mana cost or alternative cost you’re paying (such as the alternative cost of Force of Will), add any cost increases, then apply any cost reductions. Force of Will’s mana value is always 5, no matter what you paid to cast it.",[],False
796,cc7055f5-52f7-587c-b4f2-4f99376e5d72,2015,PWOE,False,False,"Role token, Fight",Faunsbane Troll,"When this creature enters, create a Monster Role token attached to it. (Enchanted creature gets +1/+1 and has trample.)
{1}, Sacrifice an Aura attached to this creature: This creature fights target creature you don't control. If that creature would die this turn, exile it instead. Activate only as a sorcery.",Creature — Troll,"If Faunsbane Troll is no longer on the battlefield or no longer a creature when its activated ability resolves, it doesn't fight the target creature, but the effect that causes the target creature to be exiled any time it would die that turn still applies.If Faunsbane Troll's activated ability resolves, its effect causes the creature to be exiled any time it would die that turn, not just if it would die as a result of damage dealt by Faunsbane Troll.",[],False
799,147668b5-b081-5aad-b715-a11539bd2749,2015,LTC,False,False,,"Yavimaya, Cradle of Growth",Each land is a Forest in addition to its other land types.,Legendary Land,"Land cards not on the battlefield aren't Forests while Yavimaya is on the battlefield.Yavimaya, Cradle of Growth isn't a Forest while it's not on the battlefield.Yavimaya's ability causes each land on the battlefield to have the land type Forest. Any land that's a Forest has the ability ""{T}: Add {G}."" Nothing else changes about those lands, including their names, other subtypes, and whether they're legendary, basic, or snow.",[],False
801,2719456c-4182-5c90-8d24-47a1fb666295,2015,MUL,False,False,,Urabrask the Hidden,"Creatures you control have haste.
Creatures your opponents control enter tapped.",Legendary Creature — Phyrexian Praetor,"Urabrask the Hidden gives itself haste while it's on the battlefield.If a creature an opponent controls enters the battlefield at the same time that Urabrask the Hidden enters the battlefield under your control, Urabrask's effect doesn't apply to your opponent's creature.",[],False
814,d7c32017-3b4c-540a-b442-c8a390a26d6d,2015,PMKM,False,False,,Connecting the Dots,"Whenever a creature you control attacks, exile the top card of your library face down. (You can't look at it.)
{1}{R}, Discard your hand, Sacrifice this enchantment: Put all cards exiled with this enchantment into their owners' hands.",Enchantment,"You can pay the cost of ""discard your hand"" even if your hand contains zero cards.If Connecting the Dots leaves the battlefield before you activate its last ability, any cards exiled by its triggered ability remain exiled face down for the rest of the game. (You still can't look at them.) If you somehow return the same Connecting the Dots to the battlefield, it will be a different object with no connection to those face-down cards.Each Connecting the Dots you control has its own set of face-down exiled cards. Connecting the Dots's last ability puts only those cards into your hand, not those of any other Connecting the Dots.",[],False
816,32404393-7656-5378-b29e-5d303a9a7427,2015,MKM,False,False,,Archdruid's Charm,"Choose one —
• Search your library for a creature or land card and reveal it. Put it onto the battlefield tapped if it's a land card. Otherwise, put it into your hand. Then shuffle.
• Put a +1/+1 counter on target creature you control. It deals damage equal to its power to target creature you don't control.
• Exile target artifact or enchantment.",Instant,"You can't choose the second mode for Archdruid's Charm unless you and another player have creatures to target.If you choose the second mode and your creature is not a legal target as Archdruid's Charm resolves, you won't put a +1/+1 counter on it, and no damage will be dealt.If you choose the second mode and the creature you don't control is not a legal target as Archdruid's Charm resolves, you'll still put a +1/+1 counter on your creature.",[],False
826,32edc037-b226-5a42-9447-bbe128a3b780,2015,PIP,False,False,Menace,Feral Ghoul,"Menace
Whenever another creature you control dies, put a +1/+1 counter on this creature.
When this creature dies, each opponent gets a number of rad counters equal to its power.",Creature — Zombie Mutant,Use Feral Ghoul’s power as it last existed on the battlefield to determine how many rad counters each opponent gets.,[],False
829,10bc8c49-2239-58ec-92a8-9ccb9298331f,2015,WHO,False,False,"Allons-y!, Time Travel, Timey-Wimey",The Tenth Doctor,"Allons-y! — Whenever you attack, exile cards from the top of your library until you exile a nonland card. Put three time counters on it. If it doesn't have suspend, it gains suspend.
Timey-Wimey — {7}: Time travel three times. Activate only as a sorcery. (For each suspended card you own and each permanent you control with a time counter on it, you may add or remove a time counter. Then do it two more times.)",Legendary Creature — Time Lord Doctor,"Any land cards exiled with The Tenth Doctor's first ability will remain in exile.Unlike other creature types in Magic that are each only one word, the two words ""Time Lord"" represent a single creature subtype. Time Lord is the only two-word creature type.If an effect instructs you to choose a creature type, you may choose Time Lord.Time counters are usually found on cards with suspend and vanishing, but may be found on other cards as well. Notably, Sagas use lore counters to track their progress, not time counters. You can't move a Saga's chapters forward and backward this way.Neither ""Time"" nor ""Lord"" are creature types. Some older cards were printed with the subtype ""Lord,"" but all of those cards have updated Oracle card text that removed that type.To time travel, look at each permanent you control with a time counter on it and each suspended card you own in exile with a time counter on it. For each of them, you choose whether you want to put a time counter on that card or permanent, remove a time counter from it, or do neither. Then those changes all happen simultaneously.",[],False
831,ed4a0fc3-840d-59b1-895a-5618a6f47ad2,2015,WOE,False,False,,Stormkeld Vanguard // Bear Down,This creature can't be blocked by creatures with power 2 or less.,Creature — Giant Warrior,"Once Stormkeld Vanguard has become blocked, reducing the power of a creature blocking it to 2 or less won't cause it to become unblocked.",[],False
834,79a025e3-0bd6-58a5-9571-6e03ded3f1f7,2015,RVR,False,False,Equip,Civic Saber,"Equipped creature gets +1/+0 for each of its colors.
Equip {1}",Artifact — Equipment,"Civic Saber's bonus can range from +0/+0 (for a colorless creature) to +5/+0 (for a creature that's all five colors).If the equipped creature becomes a different number of colors, the bonus will change accordingly.",[],False
845,a0f3a491-ffa4-5a55-90e9-2619ac9cf062,2015,MAT,False,False,"Flying, Lifelink",Gold-Forged Thopteryx,"Flying, lifelink
Each legendary permanent you control has ward {2}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)",Artifact Creature — Dinosaur Thopter,"Once a ward ability has triggered, causing that legendary permanent to lose ward by removing Gold-Forged Thopteryx won't affect that ability. The appropriate player will still have to pay {2} or see their spell or ability countered.",[],False
861,079354a3-02c6-5d31-b9cb-069d3ba353c6,2015,CLU,False,False,Convoke,Conclave Tribunal,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",Enchantment,"If Conclave Tribunal leaves the battlefield before its triggered ability resolves, the target permanent won't be exiled.",[],False
867,23b9e898-f37a-55e7-9cea-312bc09f83cc,2015,LCC,False,False,Trample,Wrathful Raptors,"Trample
Whenever a Dinosaur you control is dealt damage, it deals that much damage to any target that isn't a Dinosaur.",Creature — Dinosaur,"If Wrathful Raptors and one or more other Dinosaurs you control are dealt damage at the same time, Wrathful Raptors's ability triggers for itself and for each of those Dinosaurs, regardless of whether or not Wrathful Raptors was dealt lethal damage.If lethal damage is dealt to a Dinosaur you control while you control Wrathful Raptors, Wrathful Raptors's last ability still triggers.""Any target that isn't a Dinosaur"" means any non-Dinosaur creature, any planeswalker or battle, or any player (no matter how old they are).If multiple sources deal damage to a Dinosaur you control while you control Wrathful Raptors, most likely because multiple creatures blocked that Dinosaur, Wrathful Raptors's last ability triggers only once.",[],False
873,9b8dea16-5bd0-532d-978e-f97a786e020c,2015,PLCI,False,False,"Flying, Ward",Kitesail Larcenist,"Flying, ward {1}
When this creature enters, for each player, choose up to one other target artifact or creature that player controls. For as long as this creature remains on the battlefield, the chosen permanents become Treasure artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color"" and lose all other abilities.",Creature — Human Pirate,"The targets of Kitesail Larcenist's enters-the-battlefield ability will lose any other subtypes and card types they previously had and will be only Treasure artifacts as long as Kitesail Larcenist remains on the battlefield. They will retain any supertypes they had.If Kitesail Larcenist leaves the battlefield before its enters-the-battlefield ability resolves, that ability will have no effect. The target permanents won't become Treasures at all.If some of the targets, but not all, are illegal as the ability resolves, the illegal targets will be unaffected. Only the remaining legal targets will become Treasures.",[],False
878,acfa37a4-e404-54e9-945e-c9b9b2a3ebe7,2015,MOC,False,False,Flash,Shimmer Myr,"Flash
You may cast artifact spells as though they had flash.",Artifact Creature — Myr,"Shimmer Myr has no effect on artifact lands because they aren't cast as spells.Once you announce that you're casting a spell, players can't attempt to remove Shimmer Myr from the battlefield to make that casting illegal. Removing Shimmer My after you've cast a spell won't affect that spell.",[],False
896,95a1bc40-d3c9-51f4-bdbe-bbbeab93b359,2015,CMM,False,False,Undergrowth,Lotleth Giant,"Undergrowth — When this creature enters, it deals 1 damage to target opponent for each creature card in your graveyard.",Creature — Zombie Giant,"Because tokens aren’t cards, they never count for undergrowth abilities.Creature cards with other types, such as artifact creature cards, count for undergrowth abilities.",[],False
903,e345f2ac-c119-51f6-b026-4ba7fa59367d,2015,CMM,False,False,,Endbringer,"Untap this creature during each other player's untap step.
{T}: This creature deals 1 damage to any target.
{C}, {T}: Target creature can't attack or block this turn.
{C}{C}, {T}: Draw a card.",Creature — Eldrazi,"Activating the second activated ability after a creature has legally been declared as an attacker or blocker won't change or undo that attack or block.Endbringer untaps at the same time as the active player's permanents. You can't choose to not untap it at that time.If an effect states that Endbringer doesn't untap during your untap step, that effect won't apply during another player's untap step.",[],False
907,5d37fa91-aa3a-552c-9a2a-f4e76671759e,2015,MAT,False,False,Flying,Vesuvan Drifter,"Flying
You may look at the top card of your library any time.
At the beginning of each combat, you may reveal the top card of your library. If you reveal a creature card this way, this creature becomes a copy of that card until end of turn, except it has flying.",Creature — Shapeshifter,"Vesuvan Drifter lets you look at the top card of your library whenever you want (with one restriction—see below), even if you don't have priority. This action doesn't use the stack. Knowing what that card is becomes part of the information you have access to, just like you can look at the cards in your hand.Any non-copy effect that began to apply to Vesuvan Drifter before it became a copy of a creature card will continue to apply to it after it becomes a copy. Auras and Equipment attached to Vesuvan Drifter will continue to work, as well as counters that change its power and toughness.Notably, while Vesuvan Drifter is a copy of another card, it doesn't have its own abilities. You won't be able to look at the top card of your library unless another effect allows you to do so.Vesuvan Drifter copies exactly what was printed on the original creature card and nothing else, except it has flying.",[],False
912,45964035-1c64-5501-928e-9c68a259bb24,2015,PIP,False,False,Treasure,Pitiless Plunderer,"Whenever another creature you control dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",Creature — Human Pirate,"If Pitiless Plunderer dies at the same time as one or more other creatures you control, its ability will still trigger for each of those other creatures.",[],False
915,fc7eaf06-ee55-532a-95ff-0c7e8cd86702,2015,LCC,False,False,Enrage,Bellowing Aegisaur,"Enrage — Whenever this creature is dealt damage, put a +1/+1 counter on each other creature you control.",Creature — Dinosaur,"If another creature you control is dealt lethal damage at the same time that Bellowing Aegisaur is dealt damage, the other creature won't be saved by the +1/+1 counter that would have been put on it.",[],False
923,d9a3756c-d0a3-52fb-ac54-0ef3f98ff976,2015,PIP,False,False,First Contact,Overseer of Vault 76,"First Contact — Whenever Overseer of Vault 76 or another creature you control with power 3 or less enters, put a quest counter on Overseer of Vault 76.
At the beginning of combat on your turn, you may remove three quest counters from among permanents you control. When you do, put a +1/+1 counter on each creature you control and they gain vigilance until end of turn.",Legendary Creature — Human Advisor,"Overseer of Vault 76’s last ability lets you choose to remove exactly three quest counters from among permanents you control when it resolves. You can’t remove more quest counters to multiply the effect.If Overseer of Vault 76 and one or more other creatures with power 3 or less enter the battlefield under your control at the same time, Overseer of Vault 76’s first ability will trigger for each of them.",[],False
924,1bf2292f-ff80-542a-af0e-3c03839905ca,2015,CLU,False,False,,Goblin Wizardry,"Create two 1/1 red Goblin Wizard creature tokens with prowess. (Whenever you cast a noncreature spell, they get +1/+1 until end of turn.)",Instant,"The tokens are named ""Goblin Wizard Token"" and have the creature types ""Goblin"" and ""Wizard.""",[],False
926,15628c88-0911-5ef5-87d4-92bf624b9d20,2015,WHO,False,False,Time Lord's Prerogative,The Sixth Doctor,"Time Lord's Prerogative — Whenever you cast a historic spell, copy it, except the copy isn't legendary. This ability triggers only once each turn. (Artifacts, legendaries, and Sagas are historic. A copy of a permanent spell becomes a token.)",Legendary Creature — Time Lord Doctor,"Usually, a historic spell won't have any targets. However, if it does have one or more targets, those targets will remain the same for the copy. You won't get to choose new targets.",[],False
930,b1889829-459a-50f7-bf4a-36cde8037059,2015,ONE,False,False,Compleated,"Nahiri, the Unforgiving","Compleated ({R/W/P} can be paid with {R}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Until your next turn, up to one target creature attacks a player each combat if able.
[+1]: Discard a card, then draw a card.
[0]: Exile target creature or Equipment card with mana value less than Nahiri's loyalty from your graveyard. Create a token that's a copy of it. That token gains haste. Exile it at the beginning of the next end step.",Legendary Planeswalker — Nahiri,"The last loyalty ability will check Nahiri's loyalty as the ability tries to resolve to see if the target is still legal. If it's not, the ability won't resolve and none of its effects will happen. The card won't be exiled and no token will be created.A hybrid Phyrexian mana symbol contributes 1 toward the mana value of a card, even if life is paid for it. Specifically, Nahiri's mana value is always 4.Other replacement effects that would change the number of loyalty counters Nahiri enters with will apply as normal.If the creature targeted by the first loyalty ability can't attack for any reason (such as being tapped), then it doesn't attack. If there's a cost associated with having it attack, its controller isn't forced to pay that cost. If they don't, it doesn't have to attack in that case either.",[],False
944,7e626627-a025-5776-b7f5-90d29c408fdc,2015,PMKM,False,False,,"Judith, Carnage Connoisseur","Whenever you cast an instant or sorcery spell, choose one —
• That spell gains deathtouch and lifelink.
• Create a 2/2 red Imp creature token with ""When this token dies, it deals 2 damage to each opponent.""",Legendary Creature — Human Shaman,"Judith, Carnage Connoisseur's triggered ability resolves before the spell that caused it to trigger. The ability will resolve even if that spell is countered.Similarly, an instant or sorcery spell with lifelink must actually deal damage in order to cause its controller to gain life. If the spell instructs another object to deal damage, its controller won't gain life when that damage is dealt.An instant or sorcery spell with deathtouch must actually deal damage to a creature for it to be destroyed. If the spell instructs another object to deal damage (for example, Hard-Hitting Question), the spell doesn't deal any damage itself and its instance of deathtouch doesn't apply. Dealing 0 damage isn't dealing damage.",[],False
951,beff475f-daa6-5a8f-b18e-bb93d49f8796,2015,LTC,False,False,"Goad, Splice",Fell Beast's Shriek,"Each opponent chooses a creature they control. Tap and goad the chosen creatures. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)
Splice onto instant or sorcery {2}{U}{R} (As you cast an instant or sorcery spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)",Sorcery,"Any cards you splice onto a spell remain in your hand, regardless of what happens to the spell after you cast it.The abilities spliced onto the spell happen last, after all of that spell's other effects.If a spell is copied, choices made while casting it are copied, so the copy will have the same abilities spliced onto it as the original.If all of the spell's targets are illegal when the spell tries to resolve, it won't resolve and none of its effects will happen, including those from cards spliced onto it.You reveal all cards you intend to splice at the same time. Each individual card can be spliced only once onto any spell, although multiple cards with the same name may be spliced onto one spell.If the creature doesn't meet any of the above exceptions and can attack, it must attack a player other than the controller of the spell or ability that goaded it if able. If the creature can't attack any of those players but could otherwise attack, it must attack a planeswalker an opponent controls, a battle an opponent protects, or a player who goaded it.",[],False
954,9388256e-aec2-5c7c-84cc-6b8f17a43d51,2015,MOM,False,False,,Storm the Seedcore,Distribute four +1/+1 counters among up to four target creatures you control. Creatures you control gain vigilance and trample until end of turn.,Sorcery,"If all of Storm the Seedcore’s targets are illegal at the time the spell tries to resolve, it won’t resolve and none of its effects will happen. Creatures you control won’t gain vigilance and trample.You choose how many targets Storm the Seedcore has and how the counters will be distributed as you cast the spell. Each target must receive at least one counter.If some of the creatures are illegal targets as Storm the Seedcore tries to resolve, the original distribution of counters still applies and the counters that would have been put on the illegal targets are lost. They won’t be put instead on a legal target.",[],False
960,6b0d550e-ea7f-5ec1-8285-879a8c6a5ccc,2015,WOE,False,False,,Succumb to the Cold,"Tap one or two target creatures an opponent controls. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)",Instant,"You may target creatures that are already tapped with Succumb to the Cold. If a target creature is already tapped as it resolves, you will still put a stun counter on it.",[],False
980,a72a4491-68bc-5cd8-b65e-c91c1c79270c,2015,MKM,False,False,Investigate,Eliminate the Impossible,"Investigate. Creatures your opponents control get -2/-0 until end of turn. If any of them are suspected, they're no longer suspected. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",Instant,"There's no limit to the number of creatures that can be suspected simultaneously. Suspecting a new creature doesn't cause other creatures to stop being suspected.If a suspected creature loses all abilities, it will lose menace and ""This creature can't block"", but it won't stop being suspected.Eliminate the Impossible affects only creatures your opponents control at the time it resolves. Creatures they begin to control later in the turn won't get -2/-0 and won't stop being suspected.",[],False
998,2bf07df7-22e8-57a4-843f-1fbcbb2896f0,2015,WOE,False,False,,Restless Bivouac,"This land enters tapped.
{T}: Add {R} or {W}.
{1}{R}{W}: This land becomes a 2/2 red and white Ox creature until end of turn. It's still a land.
Whenever this land attacks, put a +1/+1 counter on target creature you control.",Land,"Counters on Restless Bivouac remain on it when it stops being a creature. If it becomes a creature later, they'll apply to it.",[],False
1011,81536096-df4d-5fa0-9193-a3f7d1e87b29,2015,MKM,False,False,Disguise,Exit Specialist,"This creature can't be blocked by creatures with power 3 or greater.
Disguise {1}{U} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, return another target creature to its owner's hand.",Creature — Human Detective,"If Exit Specialist becomes blocked while it's face-down, turning it face up won't cause it to become unblocked.The face-down spell has no mana cost and a mana value of 0. When you cast a face-down spell, put it on the stack face down so no other player knows what it is, and pay {3} to cast it. This is an alternative cost.A disguise ability lets you cast a card face down by paying {3} and announcing that you are using a disguise ability. Any time you have priority, you can turn a face-down permanent with disguise face up by paying its disguise cost.Once Exit Specialist has been blocked, increasing the blocking creature's power to 3 or greater won't cause Exit Specialist to become unblocked.You must ensure that your face-down spells and permanents can be easily differentiated from each other. You're not allowed to mix up the cards that represent them on the battlefield to confuse other players. The order in which they entered the battlefield should remain clear, as well as what ability caused them to be face down. (This includes disguise, cloak, and in games involving older cards, morph and manifest, as well as a few other effects that turn cards face down.) Common methods for doing this include using markers or dice, or simply placing them in order on the battlefield.If a face-down creature loses its abilities, it can't be turned face up with a disguise ability because it will no longer have a disguise ability (or a disguise cost) once face up.The creature spell is a 2/2 creature spell with ward {2} that has no name, mana cost, or creature types. The resulting creature is a 2/2 creature with ward {2} that has no name, mana cost, or creature types. Both the spell and the resulting creature are colorless and have a mana value of 0. Other effects that apply to the spell or creature can still grant it any characteristics it doesn't have or change the characteristics it does have.Any time you have priority, you may turn the face-down creature face up by revealing what its disguise cost is and paying that cost. This is a special action. It doesn't use the stack and can't be responded to. Only a face-down permanent can be turned face up this way; a face-down spell cannot.",[],False
1012,1546724f-2d15-5a01-af0c-1e4f5782fe42,2015,CLU,False,False,"Goad, Enchant, Scry",Psychic Impetus,"Enchant creature
Enchanted creature gets +2/+2 and is goaded. (It attacks each combat if able and attacks a player other than you if able.)
Whenever enchanted creature attacks, you scry 2.",Enchantment — Aura,"Psychic Impetus causes you to scry 2, not the attacking creature's controller.",[],False
1019,beda000d-ac0c-50f5-b38b-1828c30d7da8,2015,LTC,False,False,Trample,Mirkwood Elk,"Trample
Whenever this creature enters or attacks, return target Elf card from your graveyard to your hand. You gain life equal to that card's power.",Creature — Elk,"In the rare case that the Elf card you return to your hand doesn't have power, you'll gain 0 life.",[],False
1021,3775044c-6ffa-5cd4-9c86-c32855da7083,2015,MOC,False,False,"Flying, Flash",Restoration Angel,"Flash
Flying
When this creature enters, you may exile target non-Angel creature you control, then return that card to the battlefield under your control.",Creature — Angel,"When an effect returns the exiled card ""under your control,"" you control it indefinitely after that. If you had temporarily gained control of a creature, it won't return to its previous controller. In a multiplayer game, if a player leaves the game, all cards that player owns leave as well. If you leave the game, a creature you took with Restoration Angel's effect is exiled.",[],False
1026,d281a24e-f6d3-5193-a475-dddc9d712de1,2015,SIR,True,False,"Lifelink, Transform, First strike, Trample",Lone Rider // It That Rides as One,"First strike, trample, lifelink",Creature — Eldrazi Horror,"Lone Rider's last ability triggers even if it wasn't on the battlefield when you gained the life this turn.You must have gained life before your end step begins. Lone Rider's last ability won't trigger if you haven't, even if an ability triggering at the same time will cause you to gain life.Lone Rider's ability checks how much life you've gained during the turn, not what your life total is compared to what it was when the turn began. For example, if you gained 4 life and then lost 7 life this turn, it still triggers.In a Two-Headed Giant game, events that cause a player to gain life affect each player separately, even though the result affects the team's life total. For example, if your teammate's creatures with lifelink dealt 5 damage, your teammate gained life, not you, and Lone Rider's last ability won't trigger.",[],False
1047,4efce628-10be-5529-8301-6d3d99a9ab72,2015,LTR,False,False,Flying,"Witch-king, Bringer of Ruin","Flying
Whenever Witch-king attacks, defending player sacrifices a creature with the least power among creatures they control.",Legendary Creature — Wraith Noble,"If the defending player controls two or more creatures tied for the least power among creatures they control, that player chooses one of them to sacrifice.",[],False
1051,bed60947-b531-5b04-b872-ad05037b4aa4,2015,MUL,False,False,,"Juri, Master of the Revue","Whenever you sacrifice a permanent, put a +1/+1 counter on Juri.
When Juri dies, it deals damage equal to its power to any target.",Legendary Creature — Human Shaman,"For Juri's second ability, use its power from when it was last on the battlefield to determine how much damage is dealt. If that power was 0 or less, Juri deals no damage.Juri's first ability doesn't allow you to sacrifice any permanents. You'll have to find another way to do that.",[],False
1062,4d081266-37c2-5b1f-a280-0a2eb6a7a494,2015,PIP,False,False,Enchant,Mantle of the Ancients,"Enchant creature you control
When this Aura enters, return any number of target Aura and/or Equipment cards from your graveyard to the battlefield attached to enchanted creature.
Enchanted creature gets +1/+1 for each Aura and Equipment attached to it.",Enchantment — Aura,"As the enters-the-battlefield ability is resolving, any targets that couldn't be legally attached to the creature enchanted by Mantle of the Ancients stay in your graveyard.If Mantle of the Ancients becomes attached to a different creature in response to its enters-the-battlefield ability, the creature it's attached to as that ability is resolving is the ""enchanted creature,"" even though you used the original enchanted creature to choose targets. This means some of those targets may become illegal.If Mantle of the Ancients leaves the battlefield before its enters-the-battlefield ability resolves, the last permanent it was attached to before leaving the battlefield is the ""enchanted creature"" (even if that permanent is no longer a creature).",[],False
1074,9500abac-ccd8-596a-be8c-2875b54ffeac,2015,J22,False,False,,Blisterspit Gremlin,"{1}, {T}: This creature deals 1 damage to each opponent.
Whenever you cast a noncreature spell, untap this creature.",Creature — Gremlin,"In a Two-Headed Giant game, Blisterspit Gremlin's first ability causes the opposing team to lose 2 life.",[],False
1084,3180da26-c476-5523-8a15-f7fa78b951ef,2015,LTC,False,False,,The Ozolith,"Whenever a creature you control leaves the battlefield, if it had counters on it, put those counters on The Ozolith.
At the beginning of combat on your turn, if The Ozolith has counters on it, you may move all counters from The Ozolith onto target creature.",Legendary Artifact,"You can't move only some of the counters from The Ozolith onto the target creature.+1/+1 counters on The Ozolith have no effect unless it becomes a creature. Keyword counters on The Ozolith will grant it keywords that may have no practical effect. For example, flying on a noncreature artifact is just strange, but hexproof on a noncreature artifact is entirely useful.If The Ozolith leaves the battlefield after the last ability triggers but before it resolves, you can't move any counters from it onto the target creature.The Ozolith's first ability doesn't move counters off the creature that's left the battlefield. Rather, you put the same number of each kind of counter the creature had onto The Ozoloith. Notably, if you somehow control a second The Ozolith, each one will receive the same number and kinds of counters that were on the creature that left the battlefield. Similarly, if the creature has an ability that triggers when it leaves the battlefield that refers to the number of counters it had, that ability will use the number of counters that were on the permanent, even if The Ozolith's first ability resolves first.As The Ozolith's last ability resolves, you choose whether to move the counters.If the target creature is an illegal target by the time The Ozolith's last ability tries to resolve, the ability won't resolve. You won't remove any counters from The Ozolith.",[],False
1093,94b89951-bafa-5e85-8216-a354193e38e6,2015,MOC,False,False,,Workshop Elders,"Artifact creatures you control have flying.
At the beginning of combat on your turn, you may have target noncreature artifact you control become a 0/0 artifact creature. If you do, put four +1/+1 counters on it.",Creature — Human Artificer,"If another effect later causes the artifact to become a creature and sets its power and toughness as it does so, that creature will have that base power and toughness; it won't be 0/0. Notably, crewing a Vehicle does not set its power and toughness, so a Vehicle's base power and toughness remain 0/0 if you crew it.The effect of Workshop Elders's triggered ability lasts indefinitely. It doesn't wear off during the cleanup step.An artifact that becomes a creature due to Workshop Elders can't attack unless you've controlled it continuously since your turn began.",[],False
1110,fdaded62-a6df-5b12-9506-92fa3482427f,2015,LTR,False,False,,Scroll of Isildur,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Gain control of up to one target artifact for as long as you control this Saga. The Ring tempts you.
II — Tap up to two target creatures. Put a stun counter on each of them.
III — Draw a card for each tapped creature target opponent controls.",Enchantment — Saga,"If Scroll of Isildur leaves the battlefield or you lose control of it before its first chapter ability resolves, control of the target artifact doesn't change at all.If the target is not legal as Scroll of Isildur's first chapter ability tries to resolve, the ability is removed from the stack. The Ring won't tempt you.",[],False
1115,0658653b-dc74-5d5a-8b0e-5549ca502139,2015,CMM,False,False,,Wretched Confluence,"Choose three. You may choose the same mode more than once.
• Target player draws a card and loses 1 life.
• Target creature gets -2/-2 until end of turn.
• Return target creature card from your graveyard to your hand.",Instant,"If a mode requires a target, you can select that mode only if there’s a legal target available. Ignore the targeting requirements for modes you don’t choose. Each time you select that mode, you can choose a different target, or you can choose the same target.No matter which combination of modes you choose, you always follow the instructions of a Confluence in the order they are written. If the same mode is chosen more than once, you choose their relative order as you cast the spell.If a Confluence is copied, the effect that creates the copy will usually allow you to choose new targets, but you can’t choose new modes.You choose the modes as you cast the spell. Once modes are chosen, they can’t be changed.If all targets for the chosen modes become illegal before the Confluence resolves, the spell won’t resolve and none of its effects will happen. If at least one target is still legal, the spell will resolve but will have no effect on any illegal targets.",[],False
